"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
cat_cere,edss,Cerebellar,yesno,"<div class=""rich-text-field-label""><p>Any cerebellar function abnormalities?</p> <p><em><span style=""font-weight: normal;"">(i.e. gait or truncal ataxia or Romberg)</span></em></p></div>",,"If unsure, mark 'Yes' to answer additional questions",,,,,,,,,,," @INSTANCETABLE_HIDE @DEFAULT='0'"
cerebellar_step_1,edss,,yesno,"Is patient unable to perform ANY coordinated movements due to ataxia?",,,,,,,[cat_cere]='1',,,,,," @INSTANCETABLE_HIDE"
cerebellar_step_2,edss,,yesno,"<div class=""rich-text-field-label""><p>Severe gait/truncal ataxia present?<br /><br /></p></div>",,,,,,,"[cerebellar_step_1] = '0'",,,,,," @INSTANCETABLE_HIDE"
cerebellar_step_25,edss,,yesno,"<div class=""rich-text-field-label""><p>Is severe limb ataxia (in 3-4 limbs) present?<br /><br /><em><span style=""font-weight: normal;"">Note:</span></em><br /><em><span style=""font-weight: normal;"">Limb ataxia = Tremor or dysmetria or abnormality in rapid alternating movements</span></em></p></div>",,,,,,,"[cerebellar_step_2] = '1'",,,,,," @INSTANCETABLE_HIDE"
cerebellar_step_3,edss,,radio,"Other physical examination findings:","1, Moderate gait/truncal ataxia OR Moderate limb ataxia OR Romberg unstable with eyes open | 2, Mild ataxia (noted by patient) OR Romberg unstable with eyes closed OR Tandem not possible OR Patient reports any other abnormality while exam is normal | 3, Mild ataxia (patient often unaware) OR Tandem impaired | 4, Normal",,,,,,"[cerebellar_step_2] = '0'",,,,,," @INSTANCETABLE_HIDE"
cerebellar_fs_score,edss,,calc,"Cerebellar Functional System Score","if([cerebellar_step_1]=1,5,if([cerebellar_step_2]=1 AND [cerebellar_step_25]=1,4,if([cerebellar_step_2]=1 AND [cerebellar_step_25]=0,3,if([cerebellar_step_3]=1,3,if([cerebellar_step_3]=2,2,if([cerebellar_step_3]=3,1,if([cerebellar_step_3]=4 OR [cat_cere]=0,0,"""")))))))",,,,,,,,,,,," @INSTANCETABLE_HIDE"
cat_sens,edss,Sensory,yesno,"<div class=""rich-text-field-label""><p>Any sensory abnormalities?<br><br></p> <p><em><span style=""font-weight: normal;"">(Including paresthesias/complaints of numbness and tingling)</span></em></p></div>",,"If unsure, mark 'Yes' to answer additional questions",,,,,,,,,,," @INSTANCETABLE_HIDE @DEFAULT='0'"
worst_sensory_fs,edss,,radio,"<div class=""rich-text-field-label""><p>Which sensory component has the WORST functional Score?</p> <p> </p> <p><em><span style=""font-weight: normal;"">Note: </span></em></p> <ul> <li><em><span style=""font-weight: normal;"">The worst (highest scoring) abnormality drives the FS score.</span></em></li> <li><em><span style=""font-weight: normal;"">If not all three scores are available, use the ones that are available</span></em></li> <li><em style=""font-weight: normal;"">Superficial sensation = light touch, pain, pinprick, and/or temperature</em></li> <li><span style=""font-weight: normal;""><em>Complete = Severe = Marked</em></span></li> </ul></div>","1, Superficial Sensation | 2, Position | 3, Vibration",,,,,,"[cat_sens] = '1'",,,,,," @INSTANCETABLE_HIDE"
superficial_sensation,edss,,radio,"<div class=""rich-text-field-label""><p>Superficial sensation (light touch, pain, pin prick, and/or temperature) findings:</p> <p> </p> <p><em><span style=""font-weight: normal;"">Note:</span></em></p> <div class=""page"" title=""Page 8""> <div class=""section""> <div class=""layoutArea""> <div class=""column""> <ul> <li> <p><em><span style=""font-weight: normal;"">If the number of limbs affected is not mentioned, assume 2.</span></em></p> </li> <li> <p><em><span style=""font-weight: normal;"">If the severity is not mentioned, assumed moderate.</span></em></p> </li> <li> <p><em><span style=""font-weight: normal;"">Complete = Severe = Marked</span></em></p> </li> </ul> </div> </div> </div> </div></div>","1, Complete loss below head | 2, Complete loss 1-2 limbs OR Moderate loss below head | 3, Moderate loss > 2 limbs | 4, Moderate loss 1-2 limbs OR Mild loss > 2 limbs | 5, Mild loss 1-2 limbs | 6, Patient reports abnormality but exam is normal | 7, Normal",,,,,,"[worst_sensory_fs] = '1'",,,,,," @INSTANCETABLE_HIDE"
position,edss,,radio,"<div class=""rich-text-field-label""><p>Position findings:</p> <p><span style=""font-weight: normal;""><em>Note:</em></span></p> <div class=""page"" title=""Page 8""> <div class=""section""> <div class=""layoutArea""> <div class=""column""> <ul> <li> <p><span style=""font-weight: normal;""><em>If the number of limbs affected is not mentioned, assume 2.</em></span></p> </li> <li> <p><span style=""font-weight: normal;""><em>If the severity is not mentioned, assumed moderate.</em></span></p> </li> <li> <p><span style=""font-weight: normal;""><em>Complete = Severe = Marked</em></span></p> </li> </ul> </div> </div> </div> </div></div>","1, Complete loss below head | 2, Complete loss 1-2 limbs OR Moderate loss below head | 3, Moderate loss > 2 limbs | 4, Moderate loss 1-2 limbs OR Mild loss > 2 limbs | 5, Mild loss 1-2 limbs | 6, Patient reports abnormality but exam is normal | 7, Normal",,,,,,"[worst_sensory_fs] = '2'",,,,,," @INSTANCETABLE_HIDE"
vibration,edss,,radio,"<div class=""rich-text-field-label""><p>Vibration findings: <br /><br /></p> <p><span style=""font-weight: normal;""><em>Note:</em></span></p> <div class=""page"" title=""Page 8""> <div class=""section""> <div class=""layoutArea""> <div class=""column""> <ul> <li><span style=""font-weight: normal;""><em>Quantitative abnormalities in vibration are graded as in Neurostatus: 5-7 out of 8 is scored as mild, and 1-4 out of 8 is scored as moderate.</em></span></li> <li> <p><span style=""font-weight: normal;""><em>If the number of limbs affected is not mentioned, assume 2.</em></span></p> </li> <li> <p><span style=""font-weight: normal;""><em>If the severity is not mentioned, assumed moderate.</em></span></p> </li> <li> <p><span style=""font-weight: normal;""><em>Complete = Severe = Marked</em></span></p> </li> </ul> </div> </div> </div> </div></div>","1, Complete loss below head | 2, Complete loss > 2 limbs | 3, Complete loss 1-2 limbs OR Moderate loss > 2 limbs | 4, Moderate loss 1-2 limbs OR Mild loss > 2 limbs | 5, Mild loss 1-2 limbs | 6, Patient reports abnormality but exam is normal | 7, Normal",,,,,,"[worst_sensory_fs] = '3'",,,,,," @INSTANCETABLE_HIDE"
sensory_fs_score,edss,,calc,"<div class=""rich-text-field-label""><p>Sensory Functional System Score</p></div>","if([superficial_sensation]=1,6,if([superficial_sensation]=2,5,if([superficial_sensation]=3,4,if([superficial_sensation]=4,3,if([superficial_sensation]=5,2,if([superficial_sensation]=6,1,if([superficial_sensation]=7,0,if([position]=1,6,if([position]=2,5,if([position]=3,4,if([position]=4,3,if([position]=5,2,if([position]=6,1,if([position]=7,0,if([vibration]=1,5,if([vibration]=2,4,if([vibration]=3,3,if([vibration]=4,2,if([vibration]=5 OR [vibration]=6,1,if([vibration]=7 OR [cat_sens]=0,0,""""))))))))))))))))))))",,,,,,,,,,,," @INSTANCETABLE_HIDE"
cat_bb,edss,Bowel/bladder,yesno,"Any bowel or bladder abnormalities or complaints?",,"If unsure, mark 'Yes' to answer additional questions",,,,,,,,,,," @INSTANCETABLE_HIDE @DEFAULT='0'"
bb_step1,edss,,yesno,"<div class=""rich-text-field-label""><p>Complete loss of bowel and/or bladder function?</p></div>",,,,,,,[cat_bb]='1',,,,,," @INSTANCETABLE_HIDE"
bb_step2,edss,,radio,"Loss of both bowel AND bladder function, or only one? ","1, Both lost | 0, Either bowel OR bladder function loss",,,,,,[bb_step1]=1,,,,,," @INSTANCETABLE_HIDE"
bb_original_5,edss,,yesno,"Is the patient using an external or indwelling catheter?",,,,,,,"[bb_step1] = '0'",,,,,," @INSTANCETABLE_HIDE"
bb_original_4,edss,,yesno,"Almost constant catheterization? ",,,,,,,"[bb_original_5] = '0'",,,,,," @INSTANCETABLE_HIDE"
bb_original_3,edss,,yesno,"<div class=""rich-text-field-label""><p>Any of the following present? </p> <ul> <li>Bladder: <ul> <li><span style=""font-weight: normal;"">Frequent/Severe problems</span></li> <li><span style=""font-weight: normal;"">>1 accident/week</span></li> <li><span style=""font-weight: normal;"">Intermittent self-catheterization</span></li> </ul> </li> <li>Bowel: <ul> <li><span style=""font-weight: normal;"">Severe problems or Enema or Manual evacuation</span></li> </ul> </li> </ul></div>",,,,,,,"[bb_original_4] = '0'",,,,,," @INSTANCETABLE_HIDE"
bb_original_2,edss,,yesno,"<div class=""rich-text-field-label""><p>Any of the following present? </p> <ul> <li>Bladder: <ul> <li><span style=""font-weight: normal;"">Moderate problems</span></li> <li><span style=""font-weight: normal;"">Frequent UTIs or</span></li> <li><span style=""font-weight: normal;"">≤ 1 accident/week</span></li> <li><span style=""font-weight: normal;"">Wears pads</span></li> </ul> </li> <li>Bowel: <ul> <li><span style=""font-weight: normal;"">Moderate problems OR Wears pads</span></li> </ul> </li> </ul></div>",,,,,,,"[bb_original_3] = '0'",,,,,," @INSTANCETABLE_HIDE"
bb_original_1,edss,,yesno,"<div class=""rich-text-field-label""><p>Any of the following present?</p> <ul> <li>Bladder: <ul> <li><span style=""font-weight: normal;"">Mild retention</span></li> <li><span style=""font-weight: normal;"">Urgency</span></li> <li><span style=""font-weight: normal;"">Anything mentioned by patient but not meeting above criteria</span></li> </ul> </li> <li>Bowel: <ul> <li><span style=""font-weight: normal;"">Mild problems or Any other mention</span></li> </ul> </li> </ul></div>",,,,,,,"[bb_original_2] = '0'",,,,,," @INSTANCETABLE_HIDE"
bb_fs_score_orig,edss,,calc,"Bladder/Bowel Original Functional System Score","if(([bb_step1]=1 AND [bb_step2]=1),6,if(([bb_step1]=1 AND [bb_step2]=0),5,if([bb_original_5]=1,5,if([bb_original_4]=1,4,if([bb_original_3]=1,3,if([bb_original_2]=1,2,if([bb_original_1]=1,1,if([bb_original_1]=0 OR [cat_bb]=0,0,""""))))))))",,,,,,,,,,,," @INSTANCETABLE_HIDE"
bb_fs_score_adj,edss,,calc,"Bowel and Bladder Adjusted FS Score","if([bb_fs_score_orig]=5,4,if([bb_fs_score_orig]=4,3,if([bb_fs_score_orig]=3,3,if([bb_fs_score_orig]=2,2,if([bb_fs_score_orig]=1,1,if([bb_fs_score_orig]=0,0,""""))))))",,,,,,,,,,,," @INSTANCETABLE_HIDE"
cerebral_step_1,edss,Cerebral,yesno,"Any cognitive problems?",,,,,,,,,,,,," @INSTANCETABLE_HIDE @DEFAULT='0'"
level_cog,edss,,radio,"Level of cognitive problem: ","1, Dementia | 2, Loss of orientation to any modality | 3, Oriented 3x but abnormalities in mental exam | 4, Any mention of cognitive problems not meeting above criteria",,,,,,"[cerebral_step_1] = '1'",,,,,," @INSTANCETABLE_HIDE"
fatigue,edss,,radio,"Is fatigue present? ","1, Yes, moderate to severe | 2, Yes, mild | 3, No or fatigue severity not mentioned",,,,,,"[cerebral_step_1] = '0'",,,,,," @INSTANCETABLE_HIDE @DEFAULT='3'"
cerebral_fs_score,edss,,calc,"Cerebral Functional System Score","if([level_cog]=1,5,if([level_cog]=2,4,if([level_cog]=3,3,if([level_cog]=4,2,0))))",,,,,,,,,,,," @INSTANCETABLE_HIDE"
highest_fs,edss,,calc,"highest fs","max([ambulatory_fs_score],[visual_fs_score_adj],[brainstem_fs_score],[pyramidal_fs_score],[cerebellar_fs_score],[sensory_fs_score],[bb_fs_score_adj],[cerebral_fs_score])",,,,,,,,,,,," @HIDDEN"
fs_zero,edss,,calc,"Number of 0 FS Values ","if([ambulatory_fs_score]=0, 1, 0) +
if([visual_fs_score_adj]=0, 1, 0) +
if([brainstem_fs_score]=0, 1, 0) +
if([pyramidal_fs_score]=0, 1, 0) +
if([cerebellar_fs_score]=0, 1, 0) +
if([sensory_fs_score]=0, 1, 0) +
if([bb_fs_score_adj]=0, 1, 0) +
if([cerebral_fs_score]=0, 1, 0)",,,,,,,,,,,," @HIDDEN"
fs_one,edss,,calc,"Number of 1 FS Values","if([ambulatory_fs_score]=1, 1, 0) +
if([visual_fs_score_adj]=1, 1, 0) +
if([brainstem_fs_score]=1, 1, 0) +
if([pyramidal_fs_score]=1, 1, 0) +
if([cerebellar_fs_score]=1, 1, 0) +
if([sensory_fs_score]=1, 1, 0) +
if([bb_fs_score_adj]=1, 1, 0) +
if([cerebral_fs_score]=1, 1, 0)",,,,,,,,,,,," @HIDDEN"
fs_two,edss,,calc,"Number of 2 FS Values","if([ambulatory_fs_score]=2, 1, 0) +
if([visual_fs_score_adj]=2, 1, 0) +
if([brainstem_fs_score]=2, 1, 0) +
if([pyramidal_fs_score]=2, 1, 0) +
if([cerebellar_fs_score]=2, 1, 0) +
if([sensory_fs_score]=2, 1, 0) +
if([bb_fs_score_adj]=2, 1, 0) +
if([cerebral_fs_score]=2, 1, 0)",,,,,,,,,,,," @HIDDEN"
fs_three,edss,,calc,"Number of 3 FS Values","if([ambulatory_fs_score]=3, 1, 0) +
if([visual_fs_score_adj]=3, 1, 0) +
if([brainstem_fs_score]=3, 1, 0) +
if([pyramidal_fs_score]=3, 1, 0) +
if([cerebellar_fs_score]=3, 1, 0) +
if([sensory_fs_score]=3, 1, 0) +
if([bb_fs_score_adj]=3, 1, 0) +
if([cerebral_fs_score]=3, 1, 0)",,,,,,,,,,,," @HIDDEN"
fs_four,edss,,calc,"Number of 4 FS Values","if([ambulatory_fs_score]=4, 1, 0) +
if([visual_fs_score_adj]=4, 1, 0) +
if([brainstem_fs_score]=4, 1, 0) +
if([pyramidal_fs_score]=4, 1, 0) +
if([cerebellar_fs_score]=4, 1, 0) +
if([sensory_fs_score]=4, 1, 0) +
if([bb_fs_score_adj]=4, 1, 0) +
if([cerebral_fs_score]=4, 1, 0)",,,,,,,,,,,," @HIDDEN"
fs_five,edss,,calc,"Number of 5+ FS Values","if([ambulatory_fs_score]>=5, 1, 0) +
if([visual_fs_score_adj]>=5, 1, 0) +
if([brainstem_fs_score]>=5, 1, 0) +
if([pyramidal_fs_score]>=5, 1, 0) +
if([cerebellar_fs_score]>=5, 1, 0) +
if([sensory_fs_score]>=5, 1, 0) +
if([bb_fs_score_adj]>=5, 1, 0) +
if([cerebral_fs_score]>=5, 1, 0)",,,,,,,,,,,," @HIDDEN"
